1,ACYM_ACTION_REQUIRED,1,action *requ|verif,"[""subject""]","{""0"":""delete_message"",""1"":""forward_message"",""forward_to"":""newsletter@ml.lifeintravel.it""}",[],1,"0","0"
2,ACYM_ACKNOWLEDGMENT_RECEIPT_SUBJECT,2,(out|away) *(of|from)|vacation|holiday|absen|congés|recept|acknowledg|thank you for,"[""subject""]","[""delete_message""]",[],1,"0","0"
3,ACYM_FEEDBACK_LOOP,3,"feedback|staff@hotmail.com|complaints@.{0,15}email-abuse.amazonses.com|complaint about message","[""senderInfo"",""subject""]","[""save_message"",""delete_message""]","[""unsubscribe_user""]",1,"0","0"
4,ACYM_FEEDBACK_LOOP_BODY,4,"Feedback-Type.{1,5}abuse","[""body""]","[""save_message"",""delete_message""]","[""unsubscribe_user""]",1,1,"0"
5,ACYM_MAILBOX_FULL,5,"((mailbox|mailfolder|storage|quota|space|inbox) *(is)? *(over)? *(exceeded|size|storage|allocation|full|quota|maxi))|status(-code)? *(:|=)? *5.2.2|quota-issue|not *enough.{1,20}space|((over|exceeded|full|exhausted) *(allowed)? *(mail|storage|quota))","[""subject"",""body""]","[""save_message"",""delete_message""]","[""block_user""]",1,1,"0"
6,ACYM_BLOCKED_GOOGLE_GROUPS,6,message *rejected *by *Google *Groups,"[""body""]","[""delete_message""]",[],1,1,"0"
7,ACYM_MAILBOX_DOESNT_EXIST_1,7,"(Invalid|no such|unknown|bad|des?activated|inactive|unrouteable) *(mail|destination|recipient|user|address|person)|bad-mailbox|inactive-mailbox|not listed in.{1,20}directory|RecipNotFound|(user|mailbox|address|recipients?|host|account|domain) *(is|has been)? *(error|disabled|failed|unknown|unavailable|not *(found|available)|.{1,30}inactiv)|no *mailbox *here|user does.?n.t have.{0,30}account","[""subject"",""body""]","[""save_message"",""delete_message""]","[""block_user""]",1,1,"0"
8,ACYM_MESSAGE_BLOCKED_RECIPIENTS,8,"blocked *by|block *list|look(ed)? *like *spam|spam-related|spam *detected| CXBL | CDRBL | IPBL | URLBL |(unacceptable|banned|offensive|filtered|blocked|unsolicited) *(content|message|e?-?mail)|service refused|(status(-code)?|554) *(:|=)? *5.7.1|administratively *denied|blacklisted *IP|policy *reasons|rejected.{1,10}spam|junkmail *rejected|throttling *constraints|exceeded.{1,10}max.{1,40}hour|comply with required standards|421 RP-00|550 SC-00|550 DY-00|550 OU-00","[""body""]","{""0"":""delete_message"",""1"":""forward_message"",""forward_to"":""newsletter@ml.lifeintravel.it""}",[],1,1,"0"
9,ACYM_MAILBOX_DOESNT_EXIST_2,9,status(-code)? *(:|=)? *5.(1.[1-6]|0.0|4.[0123467])|recipient *address *rejected|does *not *like *recipient,"[""subject"",""body""]","[""save_message"",""delete_message""]","[""block_user""]",1,1,"0"
10,ACYM_DOMAIN_NOT_EXIST,10,"No.{1,10}MX *(record|host)|host *does *not *receive *any *mail|bad-domain|connection.{1,10}mail.{1,20}fail|domain.{1,10}not *exist|fail.{1,10}establish *connection","[""subject"",""body""]","[""save_message"",""delete_message""]","[""block_user""]",1,1,"0"
11,ACYM_TEMPORARY_FAILURES,11,has.*been.*delayed|delayed *mail|message *delayed|message-expired|temporar(il)?y *(failure|unavailable|disable|offline|unable)|deferred|delayed *([0-9]*) *(hour|minut)|possible *mail *loop|too *many *hops|delivery *time *expired|Action: *delayed|status(-code)? *(:|=)? *4.4.6|will continue to be attempted,"[""subject"",""body""]","[""save_message"",""delete_message""]","[""block_user""]",1,1,"0"
12,ACYM_FAILED_PERM,12,"failed *permanently|permanent.{1,20}(failure|error)|not *accepting *(any)? *mail|does *not *exist|no *valid *route|delivery *failure","[""subject"",""body""]","[""save_message"",""delete_message""]","[""block_user""]",1,1,"0"
13,ACYM_ACKNOWLEDGMENT_RECEIPT_BODY,13,vacances|holiday|vacation|absen|urlaub,"[""body""]","[""delete_message""]",[],1,"0","0"
14,ACYM_FINAL_RULE,14,.,"[""senderInfo"",""subject""]","{""0"":""delete_message"",""1"":""forward_message"",""forward_to"":""newsletter@ml.lifeintravel.it""}",[],1,1,"0"
15,ACYM_LIST_UNSUBSCRIBE_HANDLING,1,Please unsubscribe user ID \d+,"[""body""]","[""delete_message""]","[""unsubscribe_user""]",1,"0","0"
